[ 2025-02-04 20:42:57,708 ] 15 root - INFO - Initiate the data ingestion 
[ 2025-02-04 20:43:01,956 ] 66 root - INFO - Performed train test split on dataframe 
[ 2025-02-04 20:43:01,956 ] 68 root - INFO - Exited split_data_as_train_test method from Data_Ingestion class 
[ 2025-02-04 20:43:01,956 ] 74 root - INFO - Exporting train and test file path 
[ 2025-02-04 20:43:02,016 ] 84 root - INFO - Exported train and test file path 
[ 2025-02-04 20:43:02,016 ] 17 root - INFO - Data Initiation Completed 
[ 2025-02-04 20:43:02,018 ] 21 root - INFO - Initiate the data Validation 
[ 2025-02-04 20:43:02,042 ] 35 root - INFO - Required number of columns: 2 
[ 2025-02-04 20:43:02,042 ] 36 root - INFO - Data frame as columns: 31 
[ 2025-02-04 20:43:02,042 ] 35 root - INFO - Required number of columns: 2 
[ 2025-02-04 20:43:02,042 ] 36 root - INFO - Data frame as columns: 31 
[ 2025-02-04 20:43:02,161 ] 23 root - INFO - data Validation Completed 
